name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ngc219,0,42,11.31,0,54,16.4
ngc220,0,40,29.89,-73,24,14.3
ngc221,0,42,41.83,40,51,55.0
ngc222,0,40,43.71,-73,23,8.5
ngc223,0,42,15.88,0,50,43.8
ngc224,0,42,44.35,41,16,8.6
ngc225,0,43,36.38,61,46,1.0
ngc226,0,42,54.04,32,34,51.5
ngc227,0,42,36.83,-1,31,43.6
ngc228,0,42,54.51,23,30,11.0
ngc229,0,43,4.64,23,30,32.8
ngc230,0,42,27.17,-23,37,43.7
ngc231,0,41,6.43,-73,21,8.7
ngc232,0,42,45.82,-23,33,40.9
ngc233,0,43,36.56,30,35,13.2
ngc234,0,43,32.39,14,20,33.2
ngc235,0,42,53.2,-23,32,36.0
ngc0235a,0,42,52.81,-23,32,27.7
ngc0235b,0,42,53.6,-23,32,44.0
ngc236,0,43,27.54,2,57,29.5
ngc237,0,43,27.84,-0,7,29.7
ngc238,0,43,25.75,-50,10,58.2
ngc239,0,44,37.51,-3,45,33.3
ngc240,0,45,1.93,6,6,48.1
ngc241,0,43,31.53,-73,26,25.7
ngc242,0,43,33.78,-73,26,46.7
ngc243,0,46,0.87,29,57,34.2
ngc244,0,45,46.43,-15,35,48.8
ngc245,0,46,5.39,-1,43,24.2
ngc246,0,47,3.36,-11,52,19.0
ngc247,0,47,8.55,-20,45,37.4
ngc0247a,0,47,28.14,-20,23,51.5
ngc0247b,0,47,35.15,-20,25,43.3
ngc0247c,0,47,37.71,-20,27,10.1
ngc0247d,0,47,36.99,-20,29,9.6
ngc248,0,45,24.04,-73,22,47.3
ngc249,0,45,32.86,-73,4,48.3
ngc250,0,47,16.01,7,54,36.1
ngc251,0,47,54.03,19,35,48.6
ngc252,0,48,1.5,27,37,25.1
ngc253,0,47,33.12,-25,17,17.6
ngc254,0,47,27.61,-31,25,18.3
ngc255,0,47,47.31,-11,28,7.3
ngc256,0,45,53.33,-73,30,24.6
ngc257,0,48,1.51,8,17,49.5
ngc258,0,48,12.79,27,39,25.9
ngc259,0,48,3.29,-2,46,31.2
ngc260,0,48,34.65,27,41,32.8
ngc261,0,46,27.91,-73,6,13.1
ngc262,0,48,47.14,31,57,25.1
ngc263,0,48,48.47,-13,6,26.6
ngc264,0,48,20.94,-38,14,3.7
ngc265,0,47,10.16,-73,28,37.8
ngc266,0,49,47.8,32,16,39.8
ngc267,0,48,2.9,-73,16,26.5
ngc268,0,50,9.56,-5,11,37.4
