name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
pk292+01.3,11,30,48,-59,18,0
pk289+10.1,11,31,30,-49,59,0
pk294-04.1,11,31,42,-65,59,0
pk292+04.1,11,33,18,-57,7,0
pk293+01.1,11,35,12,-60,17,0
pk296-06.1,11,39,12,-68,53,0
pk294-00.1,11,41,36,-62,29,0
pk296-03.1,11,48,36,-65,9,0
pk294+04.1,11,50,18,-57,11,0
pk291+19.1,11,52,30,-42,18,0
pk293+10.1,11,53,6,-50,51,0
pk290+27.1,11,56,42,-34,26,0
pk144+65.1,11,57,48,48,56,0
pk294+14.1,12,0,48,-47,33,0
pk298-04.1,12,4,12,-67,19,0
pk298-01.2,12,8,24,-64,12,0
pk297+03.1,12,9,6,-58,43,0
pk298-01.1,12,15,18,-63,40,0
pk299-04.1,12,16,30,-66,46,0
pk275+72.1,12,18,18,11,3,0
pk298+06.1,12,18,36,-55,54,0
pk299-01.1,12,23,0,-64,2,0
pk299+00.1,12,23,30,-62,39,0
pk299+02.1,12,23,54,-60,14,0
pk294+43.1,12,24,30,-18,47,0
pk300-02.2,12,28,36,-65,20,0
pk300+00.1,12,28,42,-62,6,0
pk300-00.1,12,28,42,-63,45,0
pk300-01.1,12,30,6,-63,53,0
pk300-03.1,12,30,24,-66,15,0
pk300-02.1,12,30,30,-64,53,0
pk299+18.1,12,30,54,-44,15,0
pk298+34.1,12,33,12,-27,49,0
pk301-01.1,12,34,36,-64,19,0
pk123+34.1,12,33,6,82,33,0
pk302-05.1,12,43,24,-68,12,0
pk302+02.1,12,45,54,-60,20,0
pk302-00.2,12,48,30,-63,50,0
pk303+40.1,12,53,36,-22,52,0
pk339+88.1,12,55,30,25,54,0
pk049+88.1,12,59,30,27,38,0
pk304+05.2,13,0,42,-56,54,0
pk304+05.1,13,5,48,-57,39,0
pk304-04.1,13,8,48,-67,39,0
pk305+01.1,13,9,36,-61,20,0
pk305+03.1,13,14,30,-58,52,0
pk305-03.1,13,19,30,-66,9,0
pk306-00.1,13,22,30,-63,21,0
pk307+05.1,13,24,24,-57,32,0
pk310+24.1,13,25,42,-37,37,0
pk308+07.1,13,28,0,-54,42,0
pk307-01.1,13,28,42,-63,50,0
pk305-13.1,13,34,18,-75,46,0
pk307-03.1,13,33,30,-65,58,0
pk307-03.2,13,37,36,-66,9,0
pk308+00.1,13,38,42,-61,56,0
pk307-04.1,13,39,36,-67,23,0
pk318+41.1,13,40,42,-19,53,0
pk309+00.1,13,42,36,-61,22,0
pk309+01.1,13,44,0,-60,50,0
pk307-09.1,13,45,24,-71,29,0
pk308-03.1,13,46,24,-65,46,0
pk312+10.1,13,51,6,-51,12,0
pk309-04.1,13,52,30,-66,24,0
pk310+01.1,13,53,24,-60,34,0
pk309-04.2,13,54,0,-66,31,0
pk309-02.1,13,54,30,-65,0,0
pk310+01.2,13,54,24,-60,28,0
pk311+03.1,13,54,54,-58,28,0
pk311+02.2,13,55,48,-59,23,0
pk311+02.1,13,58,18,-58,55,0
pk314+10.1,14,1,12,-50,40,0
pk326+42.1,14,4,24,-17,13,0
pk310-02.1,14,5,36,-64,41,0
pk315+09.1,14,11,54,-51,26,0
pk312-02.1,14,14,12,-63,26,0
pk308-12.1,14,15,24,-74,13,0
pk310-05.1,14,15,24,-67,32,0
pk313+01.1,14,15,54,-60,2,0
pk312-00.1,14,16,0,-61,54,0
