name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
sh2-222,4,30,9.2,35,16,13
sh2-223,5,17,11.1,42,12,43
sh2-224,5,27,15.2,42,58,16
sh2-225,5,27,0.3,40,37,17
sh2-226,5,11,6.6,37,59,33
sh2-227,5,19,52.8,38,57,19
sh2-228,5,13,34.7,37,27,12
sh2-229,5,16,18.6,34,27,48
sh2-230,5,22,30.3,34,7,55
sh2-231,5,39,18.9,35,55,30
sh2-232,5,42,26.4,36,12,3
sh2-233,5,38,42.6,35,47,35
sh2-234,5,28,7.0,34,26,6
sh2-235,5,41,0.8,35,51,15
sh2-236,5,22,33.0,33,21,54
sh2-237,5,31,24.8,34,16,38
sh2-238,4,21,49.2,19,32,16
sh2-239,4,31,16.9,18,7,0
sh2-240,5,41,0.2,28,6,14
sh2-241,6,4,6.7,30,14,52
sh2-242,5,51,50.7,27,0,38
sh2-243,5,39,22.3,23,17,27
sh2-244,5,34,30.4,21,57,9
sh2-245,4,2,32.8,4,7,42
sh2-246,5,2,8.9,14,5,44
sh2-247,6,8,30.2,21,37,12
sh2-248,6,16,38.4,22,30,1
sh2-249,6,20,58.1,23,5,23
sh2-250,4,40,10.8,7,21,47
sh2-251,4,32,49.0,5,51,46
sh2-252,6,9,38.7,20,30,1
sh2-253,6,25,43.0,20,1,41
sh2-254,6,12,20.5,18,2,37
sh2-255,6,13,8.4,17,58,31
sh2-256,6,12,38.3,17,56,35
sh2-257,6,12,50.4,17,58,33
sh2-258,6,13,32.3,17,55,27
sh2-259,6,11,36.7,17,26,44
sh2-260,4,55,7.0,5,39,43
sh2-261,6,8,56.6,15,48,7
sh2-262,5,6,44.7,6,10,4
sh2-263,5,21,44.4,8,23,56
sh2-264,5,35,12.3,9,56,0
sh2-265,5,18,36.3,7,26,23
sh2-266,6,18,48.9,15,16,40
sh2-267,6,15,52.7,14,16,6
sh2-268,6,10,14.6,13,19,55
sh2-269,6,14,34.1,13,49,18
sh2-270,6,10,12.9,12,48,55
sh2-271,6,14,54.3,12,21,14
sh2-272,6,15,0.3,12,20,14
sh2-273,6,40,48.3,9,54,28
sh2-274,7,29,6.4,13,15,43
sh2-275,6,31,42.5,4,55,47
sh2-276,5,27,28.1,-3,57,55
sh2-277,5,40,42.9,-2,26,49
sh2-278,5,19,48.2,-5,39,49
sh2-279,5,35,20.1,-4,48,3
sh2-280,6,34,18.7,2,32,23
sh2-281,5,34,54.4,-5,28,0
sh2-282,6,37,58.5,1,30,51
sh2-283,6,38,38.6,0,42,45
sh2-284,6,45,2.0,0,13,51
sh2-285,6,55,12.2,-0,30,37
sh2-286,6,54,32.6,-4,30,32
sh2-287,6,59,32.3,-4,48,14
sh2-288,7,8,33.0,-4,18,30
sh2-289,6,45,56.3,-7,20,18
sh2-290,8,54,10.5,8,55,16
sh2-291,6,55,24.6,-8,1,40
sh2-292,7,4,24.9,-10,26,56
sh2-293,7,1,46.9,-11,18,34
