name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
lbn655,02,33,47.7,+61,03,10
lbn656,02,32,45.8,+60,33,13
lbn657,02,32,45.6,+60,28,13
lbn658,02,40,51.1,+61,12,51
lbn659,02,36,44.8,+59,38,02
lbn660,02,47,56.4,+61,56,30
lbn661,02,47,56.4,+61,55,30
lbn662,02,47,56.2,+61,52,30
lbn663,02,39,45.8,+59,34,53
lbn664,02,50,58.6,+62,12,22
lbn665,02,41,46.5,+59,33,48
lbn666,02,21,20.1,+50,33,42
lbn667,02,50,52.1,+60,17,22
lbn668,02,21,19.8,+50,23,42
lbn669,02,49,49.9,+59,42,25
lbn670,02,50,51.1,+59,57,22
lbn671,02,22,19.8,+50,13,39
lbn672,02,53,53.0,+60,12,13
lbn673,02,55,54.8,+60,32,07
lbn674,03,11,08.7,+62,46,20
lbn675,03,02,57.0,+60,25,45
lbn676,03,15,02.8,+60,51,07
lbn677,03,13,58.3,+59,41,10
lbn678,03,24,08.4,+61,30,37
lbn679,03,06,46.9,+56,41,33
lbn680,03,15,50.8,+57,06,04
lbn681,03,30,04.0,+59,50,17
lbn682,03,29,00.2,+58,50,20
lbn683,09,14,42.6,+70,47,34
lbn684,03,32,00.0,+58,30,10
lbn685,03,19,45.2,+54,40,51
lbn686,03,17,43.0,+54,02,58
lbn687,05,27,13.3,+67,32,34
lbn688,02,04,46.3,+20,14,20
lbn689,03,55,02.0,+57,18,47
lbn690,05,35,06.4,+66,32,00
lbn691,09,37,02.0,+65,46,32
lbn692,08,56,28.6,+67,03,30
lbn693,05,36,56.2,+65,01,51
lbn694,02,36,59.9,+32,03,00
lbn695,09,02,23.5,+66,38,11
lbn696,03,52,49.4,+53,18,55
lbn697,04,15,05.0,+56,52,31
lbn698,06,37,09.2,+66,57,29
lbn699,05,37,49.0,+63,51,47
lbn700,05,46,52.5,+64,21,08
lbn701,03,58,49.7,+52,58,33
lbn702,06,45,03.4,+66,16,55
lbn703,02,17,46.7,+19,13,50
lbn704,04,02,46.0,+51,19,18
lbn705,04,03,46.1,+51,18,14
lbn706,04,03,45.3,+50,58,14
lbn707,02,23,47.6,+19,43,35
lbn708,04,19,53.9,+53,07,12
lbn709,04,03,43.2,+50,08,14
lbn710,04,10,47.1,+51,12,47
lbn711,02,28,47.9,+19,33,22
lbn712,04,29,54.0,+52,36,32
lbn713,03,45,27.3,+44,09,21
lbn714,03,45,26.1,+43,29,21
