name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ldn292,17,57,42.0,-18,0,0.0
ldn293,17,57,54.0,-18,0,0.0
ldn294,18,32,0.0,-22,18,0.0
ldn295,18,32,48.0,-22,21,0.0
ldn296,18,32,30.0,-22,18,0.0
ldn297,18,47,0.0,-23,57,0.0
ldn298,17,58,54.0,-18,0,0.0
ldn299,17,0,42.0,-9,14,0.0
ldn300,18,51,6.0,-24,16,0.0
ldn301,18,35,24.0,-22,30,0.0
ldn302,17,57,30.0,-17,40,0.0
ldn303,18,7,54.0,-19,0,0.0
ldn304,18,35,0.0,-22,8,0.0
ldn305,17,49,54.0,-16,16,0.0
ldn306,18,23,12.0,-20,38,0.0
ldn307,18,6,12.0,-18,27,0.0
ldn308,18,6,42.0,-18,26,0.0
ldn309,18,31,0.0,-21,28,0.0
ldn310,18,6,54.0,-18,22,0.0
ldn311,18,49,30.0,-23,27,0.0
ldn312,17,50,54.0,-16,1,0.0
ldn313,18,33,30.0,-21,33,0.0
ldn314,18,21,0.0,-19,59,0.0
ldn315,18,18,0.0,-19,29,0.0
ldn316,18,44,42.0,-22,37,0.0
ldn317,17,0,42.0,-8,4,0.0
ldn318,17,59,54.0,-16,50,0.0
ldn319,18,1,54.0,-16,50,0.0
ldn320,17,59,54.0,-16,30,0.0
ldn321,18,50,18.0,-22,38,0.0
ldn322,18,19,54.0,-18,59,0.0
ldn323,18,15,30.0,-18,11,0.0
ldn324,17,21,48.0,-10,23,0.0
ldn325,17,53,54.0,-15,1,0.0
ldn326,17,49,48.0,-14,26,0.0
ldn327,18,16,54.0,-18,4,0.0
ldn328,18,16,54.0,-18,0,0.0
ldn329,18,40,30.0,-20,52,0.0
ldn330,17,50,24.0,-14,17,0.0
ldn331,18,16,54.0,-17,49,0.0
ldn332,18,20,54.0,-18,9,0.0
ldn333,18,10,54.0,-16,49,0.0
ldn334,18,40,0.0,-20,27,0.0
ldn335,18,19,6.0,-17,49,0.0
ldn336,18,19,54.0,-17,54,0.0
ldn337,17,57,54.0,-14,51,0.0
ldn338,17,55,48.0,-14,30,0.0
ldn339,17,56,36.0,-14,35,0.0
ldn340,17,58,54.0,-14,36,0.0
ldn341,17,59,18.0,-14,40,0.0
ldn342,18,21,54.0,-17,39,0.0
ldn343,18,28,54.0,-18,24,0.0
ldn344,18,42,0.0,-19,57,0.0
ldn345,17,53,48.0,-13,41,0.0
ldn346,18,43,0.0,-19,57,0.0
ldn347,18,7,54.0,-15,30,0.0
ldn348,18,9,54.0,-15,39,0.0
ldn349,17,51,6.0,-13,1,0.0
ldn350,18,27,54.0,-17,48,0.0
ldn351,18,23,54.0,-17,13,0.0
ldn352,17,45,48.0,-12,1,0.0
ldn353,18,32,54.0,-18,18,0.0
ldn354,18,24,54.0,-17,15,0.0
ldn355,17,51,48.0,-12,41,0.0
ldn356,18,30,24.0,-17,43,0.0
ldn357,18,15,54.0,-15,44,0.0
ldn358,17,52,48.0,-12,31,0.0
ldn359,18,22,54.0,-16,28,0.0
ldn360,17,51,42.0,-12,16,0.0
ldn361,17,52,0.0,-12,11,0.0
ldn362,18,29,54.0,-17,8,0.0
ldn363,17,58,48.0,-13,0,0.0
ldn364,18,34,54.0,-17,38,0.0
ldn365,18,42,54.0,-18,27,0.0
ldn367,17,49,48.0,-11,1,0.0
ldn368,18,5,18.0,-13,10,0.0
ldn369,18,46,6.0,-18,12,0.0
ldn370,18,30,36.0,-16,13,0.0
ldn371,17,17,42.0,-6,3,0.0
ldn372,18,30,36.0,-16,4,0.0
ldn373,17,25,42.0,-7,3,0.0
ldn374,18,29,54.0,-15,48,0.0
ldn375,18,8,48.0,-12,59,0.0
ldn376,18,22,54.0,-14,38,0.0
ldn377,19,32,18.0,-22,24,0.0
ldn378,18,36,54.0,-15,57,0.0
ldn379,18,30,54.0,-15,8,0.0
ldn380,18,22,48.0,-13,58,0.0
ldn381,18,37,24.0,-15,47,0.0
ldn382,17,47,42.0,-9,1,0.0
ldn383,18,2,48.0,-11,0,0.0
ldn384,18,2,48.0,-10,45,0.0
ldn385,18,34,54.0,-14,51,0.0
ldn386,18,12,48.0,-11,59,0.0
ldn387,17,18,36.0,-4,3,0.0
ldn388,18,32,48.0,-14,13,0.0
ldn389,18,32,48.0,-14,8,0.0
ldn390,18,35,48.0,-14,28,0.0
ldn391,17,15,36.0,-3,3,0.0
ldn392,17,53,42.0,-8,31,0.0
ldn393,17,44,42.0,-7,11,0.0
ldn394,18,21,48.0,-12,14,0.0
ldn395,18,38,48.0,-14,7,0.0
ldn396,18,32,0.0,-13,13,0.0
ldn397,18,2,42.0,-9,20,0.0
ldn398,18,32,48.0,-13,18,0.0
ldn399,18,26,48.0,-12,28,0.0
ldn400,17,55,42.0,-8,15,0.0
ldn401,18,38,6.0,-13,47,0.0
ldn402,18,29,48.0,-12,43,0.0
ldn403,18,36,48.0,-13,27,0.0
ldn404,18,29,48.0,-12,28,0.0
ldn405,18,22,48.0,-11,28,0.0
ldn406,18,25,48.0,-11,48,0.0
ldn407,18,34,48.0,-12,58,0.0
ldn408,18,10,42.0,-9,29,0.0
ldn409,18,41,48.0,-13,27,0.0
ldn410,18,42,48.0,-13,27,0.0
ldn411,18,27,48.0,-11,28,0.0
ldn412,18,31,48.0,-11,58,0.0
ldn413,18,26,36.0,-11,13,0.0
ldn414,18,24,18.0,-10,50,0.0
ldn415,18,24,48.0,-10,38,0.0
ldn416,18,25,18.0,-10,38,0.0
ldn417,18,25,18.0,-10,36,0.0
ldn418,18,14,42.0,-9,9,0.0
ldn419,18,12,42.0,-8,39,0.0
ldn420,18,25,48.0,-10,18,0.0
ldn421,17,54,18.0,-5,49,0.0
ldn422,18,11,42.0,-8,9,0.0
ldn423,18,27,48.0,-10,13,0.0
ldn424,18,14,42.0,-8,29,0.0
ldn425,17,46,48.0,-4,41,0.0
ldn426,18,11,30.0,-7,57,0.0
ldn427,18,26,48.0,-9,48,0.0
ldn428,17,47,36.0,-4,31,0.0
ldn429,18,16,42.0,-8,19,0.0
ldn430,18,11,42.0,-7,37,0.0
ldn431,18,13,42.0,-7,49,0.0
ldn432,17,58,42.0,-5,45,0.0
ldn433,18,42,48.0,-11,27,0.0
ldn434,18,42,48.0,-11,27,0.0
ldn435,18,32,48.0,-9,58,0.0
ldn436,18,14,42.0,-7,24,0.0
ldn437,18,20,12.0,-7,59,0.0
ldn438,18,14,12.0,-7,9,0.0
ldn439,17,59,42.0,-5,0,0.0
ldn440,18,19,42.0,-7,29,0.0
ldn441,18,3,42.0,-5,20,0.0
ldn442,17,57,42.0,-4,30,0.0
ldn443,18,32,42.0,-9,8,0.0
ldn444,18,2,42.0,-5,0,0.0
ldn445,18,37,42.0,-9,37,0.0
ldn446,18,30,42.0,-8,38,0.0
ldn447,18,15,42.0,-6,39,0.0
ldn448,18,36,42.0,-9,17,0.0
ldn449,18,51,48.0,-11,6,0.0
ldn450,18,32,42.0,-8,38,0.0
ldn451,18,21,42.0,-7,9,0.0
ldn452,18,56,48.0,-11,36,0.0
ldn453,18,24,42.0,-7,28,0.0
ldn454,18,28,42.0,-7,58,0.0
