name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
b286,17,53,3,-35,37,0.0
b287,17,54,26,-35,11,0.0
b288,17,57,6,-37,5,0.0
b289,17,56,36,-29,1,0.0
b290,17,59,20,-37,8,0.0
b291,17,59,43,-33,53,0.0
b292,18,0,34,-33,20,0.0
b293,18,1,12,-35,20,0.0
b294,18,1,30,-28,36,0.0
b295,18,4,5,-31,9,0.0
b296,18,4,4,-24,31,0.0
b297,18,4,0,-18,44,0.0
b298,18,5,11,-30,5,0.0
b299,18,6,20,-27,17,0.0
b300,18,7,1,-32,39,0.0
b301,18,8,50,-18,42,0.0
b302,18,9,13,-23,58,0.0
b303,18,9,28,-23,59,0.0
b304,18,13,0,-18,43,0.0
b305,18,14,37,-31,48,0.0
b306,18,15,44,-25,42,0.0
b307,18,18,38,-17,57,0.0
b308,18,19,8,-22,14,0.0
b309,18,23,8,-24,1,0.0
b310,18,30,13,-18,35,0.0
b311,18,30,27,-17,40,0.0
b312,18,32,0,-15,34,0.0
b313,18,35,56,-15,41,0.0
b314,18,37,4,-9,42,0.0
b315,18,42,18,-20,1,0.0
b316,18,41,50,-2,8,0.0
b317,18,45,46,-14,12,0.0
b318,18,49,42,-6,23,0.0
b319,18,51,58,-1,16,0.0
b320,18,52,47,-5,51,0.0
b321,18,54,2,-11,17,0.0
b322,18,55,47,-4,27,0.0
b323,18,57,34,-3,25,0.0
b324,18,59,22,-2,59,0.0
b325,18,59,53,-4,3,0.0
b326,19,3,0,-0,23,0.0
b327,19,4,26,-5,7,0.0
b328,19,4,49,-4,14,0.0
b329,19,6,59,3,11,0.0
b330,19,19,33,7,33,0.0
b331,19,26,0,7,34,0.0
b332,19,28,0,8,45,0.0
b333,19,28,0,10,40,0.0
b334,19,35,6,12,19,0.0
b335,19,36,54,7,36,0.0
b336,19,36,41,12,20,0.0
b337,19,37,0,12,23,0.0
b338,19,43,2,7,27,0.0
b339,19,44,0,8,17,0.0
b340,19,48,44,11,24,0.0
b341,19,50,1,34,16,0.0
b342,20,9,30,41,12,0.0
b343,20,13,26,40,16,0.0
b344,20,16,12,40,13,0.0
b345,20,21,0,46,33,0.0
b346,20,26,46,43,44,0.0
b347,20,28,27,39,54,0.0
b348,20,34,0,42,5,0.0
b349,20,47,24,43,57,0.0
b350,20,49,6,45,52,0.0
b351,20,52,27,47,24,0.0
b352,20,57,10,45,53,0.0
b353,20,57,22,45,28,0.0
b354,20,58,0,58,9,0.0
b355,20,59,38,43,11,0.0
b356,20,59,58,46,41,0.0
b357,20,59,52,55,34,0.0
b358,21,5,40,43,16,0.0
b359,21,6,46,57,10,0.0
b360,21,7,52,56,30,0.0
b361,21,12,45,47,25,0.0
b362,21,23,57,50,12,0.0
b363,21,24,53,48,56,0.0
b364,21,34,0,54,33,0.0
b365,21,34,53,56,43,0.0
b366,21,40,21,59,34,0.0
b367,21,44,24,57,10,0.0
b368,21,50,55,58,59,0.0
b369,22,15,54,56,1,0.0
b370,22,34,0,56,38,0.0
