name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
abell642,8,16,0.0,30,0,0.0
abell643,8,19,36.0,52,31,0.0
abell644,8,17,24.0,-7,35,0.0
abell645,8,22,30.0,56,34,0.0
abell646,8,22,6.0,47,6,0.0
abell647,8,20,24.0,7,32,0.0
abell648,8,22,12.0,32,32,0.0
abell649,8,24,12.0,48,52,0.0
abell650,8,22,30.0,18,34,0.0
abell651,8,22,18.0,16,6,0.0
abell652,8,25,42.0,56,2,0.0
abell653,8,21,48.0,1,13,0.0
abell654,8,24,12.0,38,55,0.0
abell655,8,25,18.0,47,8,0.0
abell656,8,25,30.0,48,17,0.0
abell657,8,23,18.0,15,57,0.0
abell658,8,23,48.0,15,41,0.0
abell659,8,24,6.0,19,25,0.0
abell660,8,25,18.0,36,51,0.0
abell661,8,27,18.0,53,9,0.0
abell662,8,24,48.0,8,30,0.0
abell663,8,26,30.0,34,50,0.0
abell664,8,24,48.0,4,27,0.0
abell665,8,30,48.0,65,54,0.0
abell666,8,27,12.0,38,20,0.0
abell667,8,28,6.0,44,44,0.0
abell668,8,27,42.0,34,47,0.0
abell669,8,30,12.0,56,20,0.0
abell670,8,32,36.0,66,53,0.0
abell671,8,28,30.0,30,26,0.0
abell672,8,28,54.0,32,29,0.0
abell673,8,28,18.0,15,10,0.0
abell674,8,30,12.0,18,26,0.0
abell675,8,31,36.0,38,25,0.0
abell676,8,31,36.0,37,10,0.0
abell677,8,32,18.0,35,47,0.0
abell678,8,34,18.0,50,44,0.0
abell679,8,34,6.0,35,59,0.0
