name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ic5179,22,16,9.1,-36,50,37.4
ic5180,22,11,12.01,38,55,37.9
ic5181,22,13,21.7,-46,1,3.4
ic5182,22,16,5.09,-65,27,17.0
ic5183,22,16,9.1,-36,50,37.4
ic5184,22,16,9.1,-36,50,37.4
ic5185,22,17,43.65,-65,51,26.9
ic5186,22,18,46.52,-36,48,5.7
ic5187,22,18,17.77,-59,36,25.1
ic5188,22,18,26.4,-59,38,28.8
ic5189,22,16,14.15,-5,0,15.5
ic5190,22,19,0.69,-59,52,57.8
ic5191,22,15,2.47,37,18,1.4
ic5192,22,15,14.04,37,16,15.7
ic5193,22,15,43.55,37,14,34.2
ic5194,22,17,8.13,-15,56,44.5
ic5195,22,15,41.57,37,18,10.0
ic5196,22,20,11.26,-65,24,16.6
ic5197,22,19,49.42,-60,8,11.2
ic5198,22,17,42.68,-15,34,16.6
ic5199,22,19,33.22,-37,32,1.7
ic5200,22,22,15.34,-65,45,58.8
ic5201,22,20,57.44,-46,2,9.1
ic5202,22,22,55.67,-65,48,10.4
ic5203,22,22,34.3,-59,46,23.6
ic5204,22,30,59.91,-14,0,12.7
ic5205,22,22,47.56,-59,47,13.4
ic5206,22,24,4.62,-66,51,28.2
ic5207,22,23,29.45,-60,33,53.9
ic5208,22,24,34.27,-65,13,38.7
ic5209,22,23,9.1,-37,59,35.8
ic5210,22,22,31.11,-18,52,10.9
ic5211,22,22,43.06,-18,52,48.8
ic5212,22,23,30.26,-38,2,15.5
ic5213,22,25,4.79,-60,28,36.1
ic5214,22,23,42.21,-27,28,11.3
ic5215,22,26,58.11,-65,58,55.9
ic5216,22,24,44.77,-18,5,15.4
ic5217,22,23,55.7,50,58,0.0
ic5218,22,28,5.78,-60,23,41.5
ic5219,22,28,43.74,-65,53,37.4
ic5220,22,28,2.73,-59,43,24.4
ic5221,22,28,57.71,-65,54,16.5
ic5222,22,29,54.78,-65,39,40.9
ic5223,22,29,44.77,7,59,19.5
ic5224,22,30,30.15,-45,59,46.3
ic5225,22,32,8.06,-25,23,52.0
ic5226,22,32,30.21,-25,39,43.1
ic5227,22,34,3.71,-64,41,51.6
ic5228,22,32,23.8,-14,7,13.9
ic5229,22,34,50.38,-61,22,52.9
ic5230,22,35,40.17,-61,32,51.7
ic5231,22,34,0.72,23,20,19.2
ic5232,22,37,38.11,-68,52,20.0
ic5233,22,36,32.88,25,45,47.5
ic5234,22,40,11.45,-65,49,30.9
ic5235,22,41,25.47,-66,34,49.1
ic5236,22,41,30.14,-66,37,4.8
ic5237,22,42,17.91,-30,3,27.6
ic5238,22,41,29.77,-60,45,28.5
ic5239,22,31,7.18,-38,1,35.5
ic5240,22,41,52.38,-44,46,1.8
ic5241,22,41,38.53,2,38,23.8
ic5242,22,41,15.21,23,24,24.9
ic5243,22,41,24.59,23,22,28.7
ic5244,22,44,13.75,-64,2,36.2
ic5245,22,44,56.37,-65,21,28.5
ic5246,22,46,39.5,-64,53,52.7
ic5247,22,46,50.15,-65,16,26.0
ic5248,22,44,42.75,-0,20,22.2
ic5249,22,47,6.28,-64,49,55.3
ic5250,22,47,20.42,-65,3,31.4
ic5250a,22,47,17.5,-65,3,35.0
ic5250b,22,47,22.16,-65,3,30.6
ic5251,22,45,10.63,11,9,30.5
ic5252,22,48,8.99,-68,54,10.3
ic5253,22,45,28.92,21,48,29.0
ic5254,22,46,0.51,21,7,32.1
ic5255,22,45,46.04,36,13,36.4
ic5256,22,49,45.81,-68,41,26.4
ic5257,22,52,16.25,-67,25,10.4
ic5258,22,51,31.57,23,4,50.1
ic5259,22,55,14.69,36,40,18.4
ic5260,22,54,18.61,-39,18,53.8
ic5261,22,54,25.24,-20,21,46.4
ic5262,22,55,20.45,-33,53,16.5
ic5263,22,58,13.57,-69,3,7.6
ic5264,22,56,53.04,-36,33,15.0
ic5265,22,57,10.61,-36,27,44.0
ic5266,22,58,20.83,-65,7,46.9
ic5267,22,57,13.57,-43,23,46.1
ic5268,22,56,12.97,36,35,50.1
ic5269,22,57,43.66,-36,1,34.4
